MERE,MEIn,MEId,MIAO,MIEE,MIC,SCI,RP,SP,OP,RM,SM,OM
4.5,6,5.25,6.25,5.5,5.5,9.57,0,0,0,1.29,4,2.86
5.25,4,4.75,5.25,5.25,5.25,8.29,1,3.57,3,1,3.57,3
2.25,3.5,1.75,5.75,5.25,5.75,8.57,1.43,3.43,2.71,1.43,3.57,2.86
3,2.25,2.5,4.75,3.5,3.75,8.86,1.14,3.86,3,1.14,3.86,3
2.25,2,2.25,2.75,4.5,2.5,4.29,1.29,3.29,2.86,1.29,3.29,2.86
3.5,5,2.75,5.25,5.25,4.25,6.29,1.71,3.29,2.57,1.71,3.29,2.43
1.25,1.75,4.75,7,6.25,4,7.71,1.29,3.86,2.57,1.14,3.86,2.71
3.5,2.25,1.25,3,4.75,4,8,1.14,4,2,1.14,4,2.14
4.75,1.75,1.5,3.25,5.5,3,6.71,1,3.86,2.14,1,3.86,2.14
4.5,3.25,3.75,5,4,3.75,8.71,1,2.57,2.57,1.29,3.43,3.29
5,3.75,2.5,5,5,2.25,8.43,0,0,0,1.29,3.86,2.43
3.25,3.75,3,2.75,3,3.25,4.86,1.43,3.29,2.43,1.43,3.29,2.43
3,1.25,1.5,2.5,2.25,1.75,6.29,1,3.86,2,1,3.86,2.14
6,4,4,4,6.25,4.25,8,1.14,3.57,2.86,1.14,3.71,2.71
5.5,4,5.25,6,5.75,5,6.57,1.86,4,3.29,1.57,4,3.29
1.75,1.5,2,2.5,1.5,3.5,7.57,2,3.14,2.14,1.43,3.29,2
4.25,4.5,2,3.5,4.5,1.25,7.71,1,3.86,2.71,1,3.86,2.71
4,6.25,5,6.75,6.5,5.5,8.29,1.29,3.57,3.14,0,0,0
2,3,3.25,4.25,5.25,4.25,8.43,1,3.71,2.43,1,3.71,2.57
6.25,5,6,6.5,6.5,6.5,7.71,1.29,3.43,2.57,1,4,2.86
6,6,4.5,5.5,5.75,5.75,8.43,1.71,3.29,2.14,1.71,3.29,2.29
3.5,6.75,6.75,6.25,6.5,6.5,6.57,1.14,3.71,2.29,1.14,3.71,2.43
3.5,4.5,6,5,6.25,5,7.57,1.29,3.43,2.57,1.43,4,2.43
6.25,6.5,6,6,6,5.75,8.71,1.86,2.86,3.43,1.86,3,3.43
3.5,5.5,4,6.5,6.5,6.75,9.29,1.14,3.43,3,1.14,3.57,2.71
6.25,6,6,5,5.5,6.25,8.43,1,4,1.86,1,4,2.14
3.5,5,3.25,4.25,6.5,6,8.29,1.29,3,1.86,1.29,3,1.86
4,5.5,3.25,5.75,6,6.25,8.71,1.14,3.43,1.71,1.29,4,2
3.75,6.25,5,6.25,6,5.25,7.29,1.14,3.86,2.57,1.14,3.86,2.43
4.25,5,3.5,6.5,6,6.5,10.43,1.43,4,2.29,1.43,4,2.29
5.75,5.25,5.75,6.75,6,6,6.29,1.86,2.57,2.71,1.71,3,2.43
3,2.5,3,2.75,4.5,3,7,1,3.57,1.14,1,3.57,1.43
4,5.25,6,6,6.5,5.5,8.71,1.29,3.43,2.57,1.29,3,2.14
6.5,5.25,5,5.75,6.5,6.75,9.14,1.29,3.86,2.71,1.29,3.86,2.86
3,2.5,1.5,6.25,6.25,5.75,9.29,1.14,3.86,2.14,1,3.86,2.29
5,5.75,5,6.25,7,7,10.71,1.29,4,2.43,1.29,4,2.43
3.75,5.25,3.75,6.25,6.5,6,9.71,1.14,3.57,2.71,1.29,3.86,2.86
5.25,5,5.75,5,7,6.5,9,1,1,1,1.57,3.71,2.57
4,5.25,4.5,6.25,6.75,5,9.29,1,3.86,2.14,1,4,2.29
5,5.5,5,6.75,7,6.75,9.14,1.29,3.57,2,1.29,3.71,2
3,2.75,5,5.75,6.5,6.75,9,1,3.86,2.29,1,3.86,2.29
5,5.25,6,5,5.75,5.25,9,1.14,3.71,1.57,1,3.71,1.57
6.75,3.75,5.5,5.25,6.5,5.25,7.71,1.29,3.86,3,1.29,3.86,3
4.75,5.75,3.25,5.5,5.75,6.25,8.57,1.43,3.86,2.57,1.71,3.71,3
3,2.75,2,4.75,5,2.75,8.29,1.57,2.29,2.86,1,2.86,1.86
3.5,2.25,1.5,4.5,5.5,3.25,7.86,1.14,4,1.86,1.14,4,1.86
5.5,7,5.5,7,7,7,11.14,1.43,4,2.29,1.43,4,2.29
4,4,3.75,6.5,6.5,4.25,8.29,1.14,3.14,2.57,1.29,3.29,3
6,5.75,6,7,6.75,6,10.43,1.14,3,1.14,1.14,3.86,1.71
2,2.75,1,5,4.75,5.25,9,1.29,3.29,2.29,1.14,3.86,2.29
2,1.5,2.5,4.25,3.5,3.75,8.14,1.14,3.57,1.71,1.14,3.57,1.86
6.5,6,5.25,6,7,7,8.14,1.14,3.57,2.86,1.14,3.57,2.86
3.75,4.5,5.25,4.25,4.75,5.5,7.14,1.86,2.86,2.71,1.57,3,2.14
4.75,4,3.75,6,4.5,5.25,7.29,1.29,3,2.29,1.29,3,2.29
6.25,5,5,3.25,5.5,5.5,6.43,2.14,2.71,2.57,2.29,3.14,2.57
2.5,4,3.25,3.75,4,6,9.86,1.29,3.71,2.71,1.29,3.71,2.71
4.25,1.25,2.5,5.25,6.5,3.75,7.14,1.43,3.14,2.86,1.29,3.43,3.14
6.25,5.25,5.75,5.25,6.25,5.75,8.86,1,4,2.43,1,4,2.43
